r_A g_B_B g_B_Fe g_Fe_Fe
1.169999999999999929e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.209999999999999964e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.229999999999999982e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.270000000000000018e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.290000000000000036e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.310000000000000053e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.330000000000000071e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.350000000000000089e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.370000000000000107e+00 2.370977587175713511e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.390000000000000124e+00 1.381944027106727204e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.410000000000000142e+00 2.760649420568493228e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.429999999999999938e+00 1.059079941366673078e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.449999999999999956e+00 2.412894077235520213e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.469999999999999973e+00 5.258264668542241005e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.489999999999999991e+00 1.170604220340446394e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.510000000000000009e+00 2.141029640936543132e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.530000000000000027e+00 3.656299882748795804e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000044e+00 5.790230433006638977e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.570000000000000062e+00 8.585232935269828669e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.590000000000000080e+00 1.179314169068831797e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.610000000000000098e+00 1.565375552329748121e+00 8.562790236396039382e-05 0.000000000000000000e+00
1.630000000000000115e+00 1.895904632334843853e+00 8.353952174726485930e-05 0.000000000000000000e+00
1.650000000000000133e+00 2.254778091653253380e+00 1.304425916926582087e-03 0.000000000000000000e+00
1.669999999999999929e+00 2.593785406430540785e+00 2.307982475779287151e-03 0.000000000000000000e+00
1.689999999999999947e+00 2.844120112817277501e+00 6.372473184647562891e-03 0.000000000000000000e+00
1.709999999999999964e+00 3.028938069770215069e+00 1.373896589413394279e-02 0.000000000000000000e+00
1.729999999999999982e+00 3.095807043049920715e+00 2.699460534361920738e-02 0.000000000000000000e+00
1.750000000000000000e+00 3.117916445301017081e+00 5.747315057413015377e-02 0.000000000000000000e+00
1.770000000000000018e+00 3.052446668877663249e+00 9.762717132842359258e-02 0.000000000000000000e+00
1.790000000000000036e+00 2.952163773266187174e+00 1.557942832229234076e-01 0.000000000000000000e+00
1.810000000000000053e+00 2.821539093362805950e+00 2.446462493197808785e-01 0.000000000000000000e+00
1.830000000000000071e+00 2.617088616357113207e+00 3.591577902687090318e-01 0.000000000000000000e+00
1.850000000000000089e+00 2.383324494449274411e+00 5.168723221538121804e-01 0.000000000000000000e+00
1.870000000000000107e+00 2.197001585404467328e+00 7.003550569310406093e-01 0.000000000000000000e+00
1.890000000000000124e+00 1.981031039718998965e+00 9.116629373861663277e-01 0.000000000000000000e+00
1.910000000000000142e+00 1.799153295913648032e+00 1.152100020324796414e+00 0.000000000000000000e+00
1.929999999999999938e+00 1.594721445996544196e+00 1.412160822192026544e+00 0.000000000000000000e+00
1.949999999999999956e+00 1.430516664106557867e+00 1.688974524444549319e+00 3.528416406304620413e-04
1.969999999999999973e+00 1.271776566899415872e+00 1.958945686320382906e+00 0.000000000000000000e+00
1.989999999999999991e+00 1.128798512723433012e+00 2.215703380861806959e+00 3.387997289364038387e-04
2.009999999999999787e+00 1.013774770930993885e+00 2.457894380336806517e+00 1.660455224108126722e-03
2.030000000000000249e+00 8.883199430393677876e-01 2.652293351381404651e+00 5.209274662252619779e-03
2.049999999999999822e+00 7.936994522977810496e-01 2.805982398706902359e+00 5.427384838839524259e-03
2.070000000000000284e+00 7.076411994508959857e-01 2.932597184262581980e+00 1.189850479096753177e-02
2.089999999999999858e+00 6.370770917046260085e-01 3.038122696529245825e+00 1.996504681463039804e-02
2.110000000000000320e+00 5.746793904346639836e-01 3.098856830734573631e+00 3.465632763772018982e-02
2.129999999999999893e+00 5.287899956146000502e-01 3.104290846669519155e+00 5.825815022131260873e-02
2.150000000000000355e+00 4.776975393480215604e-01 3.055688732552056308e+00 8.127010902417805549e-02
2.169999999999999929e+00 4.364230523611813406e-01 3.006598722774473043e+00 1.179588858097802145e-01
2.190000000000000391e+00 4.088484876781069421e-01 2.922918050011534152e+00 1.611328534515216737e-01
2.209999999999999964e+00 3.798271056321856909e-01 2.820946583573205491e+00 2.384432740098181569e-01
2.230000000000000426e+00 3.583984964907727666e-01 2.694072234480342054e+00 2.867962642125614359e-01
2.250000000000000000e+00 3.333610868997416987e-01 2.559756133658889876e+00 3.861397566830073735e-01
2.270000000000000462e+00 3.183296582124452989e-01 2.415649205580582493e+00 4.603419992361583168e-01
2.290000000000000036e+00 3.074757432619669162e-01 2.269645991242834171e+00 6.007271078533725772e-01
2.310000000000000053e+00 3.012016066105180356e-01 2.124446709338500217e+00 7.108074947607434524e-01
